"Site","Type","Classification","Date","Time","Duration","Depth","Visibility","Weather","Current","Boats","Researcher","total_N","Species","Count","Functional_Group","survey_id"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Brown_Stripe_Snapper",2,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Russels_Snapper",27,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"lrg_Snapper",2,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Trevally",83,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"Emperorfish",11,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"sml_Grouper",17,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"14:00",8,20,15,NA,"None",0,"GlobalReef",264.5,"lrg_Grouper",4,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Parrotfish",11,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Rabbitfish",32,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Butterflyfish",18,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Angelfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Cleaner_Wrasse",5,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"Batfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
