Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
White Rock,03/01/2019,10,12:00,30,12,1,None,8,GlobalReef,18,10,17,3,15,2,3,12,4,0,6,2,0,0,0,0,0,4,9,14,5,0,124
Red Rock,03/01/2019,10,12:00,30,12,1,None,2,GlobalReef,41,37,83,2,0,0,9,17,11,0,0,2,1,0,0,0,1,9,4,7,1,0,225
White Rock,04/01/2019,10,12:00,30,18,1,None,5,GlobalReef,22,8,23,3,10,5,5,16,2,0,4,3,0,1,28,0,0,7,9,20,9,0,175
Twins,04/01/2019,10,12:00,27,12,1,None,10,GlobalReef,36,16,18,2,0,2,7,18,3,0,6,2,1,3,0,0,1,6,17,14,12,0,164
Red Rock,04/01/2019,10,12:00,30,7,1,None,2,GlobalReef,36,30,75,4,0,0,6,20,8,0,12,5,0,0,15,0,0,7,18,14,3,0,253
White Rock,05/01/2019,10,12:00,30,12,1,None,5,GlobalReef,20,15,18,1,12,0,5,18,5,0,10,2,1,2,40,0,1,3,9,18,5,0,185
Red Rock,05/01/2019,10,12:00,30,7,1,None,1,GlobalReef,26,16,37,0,0,3,4,8,4,0,28,1,0,0,11,0,1,7,7,20,3,0,176
Twins,05/01/2019,10,13:00,27,18,1,None,12,GlobalReef,45,18,21,5,0,0,4,12,4,0,0,3,0,0,0,0,1,5,18,17,16,0,169
Red Rock,06/01/2019,10,12:00,30,2,1,None,2,GlobalReef,11,10,18,2,5,0,9,9,1,1,5,1,0,0,1,0,0,2,0,19,1,1,96
Twins,06/01/2019,10,13:00,27,18,5,None,5,GlobalReef,30,2,25,6,0,0,8,11,5,0,0,3,0,0,0,0,0,4,11,22,18,0,145
White Rock,06/01/2019,10,12:00,30,12,5,None,7,GlobalReef,39,8,47,1,18,0,10,24,1,0,0,2,0,0,6,0,0,2,0,29,17,0,204
Red Rock,07/01/2019,10,12:00,28,12,1,None,1,GlobalReef,34.5,11.5,37.5,1,4,0.5,11,9.5,5.5,0,1,1,0,0,3.5,0,0,0,4,17.5,2.5,0,144.5
Twins,07/01/2019,10,13:00,27,18,3,None,5,GlobalReef,36,3,46,7,8,0,6,21,7,0,10,1,0,0,1,0,1,3,0,39,12,0,201
White Rock,07/01/2019,10,12:00,30,18,5,None,3,GlobalReef,43,8,32.3,5,4.7,1,11.7,25.5,3.3,0,12,3,0,0.7,86,0,0,7,3.5,33.3,4,0,284
Twins,08/01/2019,10,12:00,27,12,3,Light,2,GlobalReef,29,50,25,0,6.5,0,5.5,26.5,4,0,14,2,2,0,0,0,1,20,8.5,28,9.5,0,231.5
Red Rock,08/01/2019,10,12:00,30,12,1,None,1,GlobalReef,39,21.5,64,2.5,4,0,12.5,14.5,8.5,0,22.5,4,0,0,9,3,1,11,23.5,36,7.5,0,284
White Rock,08/01/2019,10,12:00,30,18,3,Light,6,GlobalReef,49,11,57,4,9.5,0,7,32.5,3,0,70.5,4.5,0,1,82.5,0,0,5.5,10.5,32.5,12,0,392
Red Rock,09/01/2019,10,12:00,29,12,1,None,1,GlobalReef,30.7,18,57.7,2.3,4.3,0,4,16,5.7,0,18.7,2.3,0,0,6,3,0,2.7,5.7,21.7,4.7,0,203.3
